trip_id,vehicle_id,longitude,latitude,tstamp,speed
241901762,3905,-122.558145,45.534528,2023-01-20 16:16:43,10.75
241901762,3905,-122.558153,45.533952,2023-01-20 16:16:49,10.666666666666666
241901762,3905,-122.55816,45.533463,2023-01-20 16:16:54,10.6
241901762,3905,-122.558167,45.532972,2023-01-20 16:16:59,10.8
241901762,3905,-122.558175,45.532078,2023-01-20 16:17:09,9.6
241901762,3905,-122.558178,45.53182,2023-01-20 16:17:14,5.2
241901762,3905,-122.558182,45.531737,2023-01-20 16:17:19,1.6
241901762,3905,-122.558183,45.53173,2023-01-20 16:17:55,0.027777777777777776
241901762,3905,-122.558183,45.531658,2023-01-20 16:18:00,1.8
241901762,3905,-122.558188,45.531385,2023-01-20 16:18:05,6.4
241901762,3905,-122.558193,45.531012,2023-01-20 16:18:10,8.6
241901762,3905,-122.558198,45.53056,2023-01-20 16:18:15,10.0
241901762,3905,-122.558203,45.530137,2023-01-20 16:18:20,9.2
241901762,3905,-122.558208,45.529733,2023-01-20 16:18:25,8.6
241901762,3905,-122.558232,45.529557,2023-01-20 16:18:29,4.25
241901762,3905,-122.558418,45.529468,2023-01-20 16:18:35,3.0
241901762,3905,-122.559518,45.529472,2023-01-20 16:18:45,8.7
241901762,3905,-122.560063,45.5295,2023-01-20 16:18:50,7.8
241901762,3905,-122.560375,45.529528,2023-01-20 16:18:55,4.4
241901762,3905,-122.560793,45.529513,2023-01-20 16:19:20,1.32
241901762,3905,-122.561147,45.529508,2023-01-20 16:19:25,5.4
241901762,3905,-122.561437,45.529513,2023-01-20 16:19:30,4.2
241901762,3905,-122.56154,45.529518,2023-01-20 16:19:35,1.2
241901762,3905,-122.561628,45.529522,2023-01-20 16:19:40,1.6
241901762,3905,-122.56176,45.529528,2023-01-20 16:19:45,1.8
241901762,3905,-122.561877,45.52953,2023-01-20 16:19:50,2.4
241901762,3905,-122.562313,45.529523,2023-01-20 16:19:55,7.0
241901762,3905,-122.562845,45.529535,2023-01-20 16:20:00,8.2
241901762,3905,-122.563208,45.529543,2023-01-20 16:20:05,5.0
241901762,3905,-122.563323,45.529547,2023-01-20 16:20:10,1.8
241901836,3905,-122.561775,45.529528,2023-01-20 17:07:22,5.7934322033898304
241901836,3905,-122.56203,45.529525,2023-01-20 17:07:27,4.4
